idx,v_inf,b_over_M,eps,ell,M,success,error,alpha_inf,alpha_near_horizon,r_straighten,r_inner,can_escape,n_turning_points
477,1.9999999999999998,2.963555896455145,0.5773502691896258,3.422019589153762,1.0,True,,0.058999027375374255,0.09361872525792152,nan,2.002002002002002,False,0
478,1.9999999999999998,2.999477786109147,0.5773502691896258,3.463498614476838,1.0,True,,0.05971501323245662,0.09475688563458685,nan,2.002002002002002,False,0
480,1.9999999999999998,3.0713215654171506,0.5773502691896258,3.54645666512299,1.0,True,,0.06114707726711438,0.09703357729629124,nan,2.002002002002002,False,0
475,1.9999999999999998,2.8917121171471414,0.5773502691896258,3.3390615385076097,1.0,True,,0.057567146127056795,0.09134276784365657,nan,2.002002002002002,False,0
476,1.9999999999999998,2.9276340068011435,0.5773502691896258,3.380540563830686,1.0,True,,0.05828307179717041,0.09248068649841784,nan,2.002002002002002,False,0
479,1.9999999999999998,3.0353996757631485,0.5773502691896258,3.5049776397999137,1.0,True,,0.060431029739346324,0.09589516914227167,nan,2.002002002002002,False,0
474,1.9999999999999998,2.8557902274931397,0.5773502691896258,3.297582513184534,1.0,True,,0.056851249994383894,0.09020496778263835,nan,2.002002002002002,False,0
482,1.9999999999999998,3.143165344725154,0.5773502691896258,3.6294147157691414,1.0,True,,0.06257926687029168,0.09931077361199431,nan,2.002002002002002,False,0
481,1.9999999999999998,3.1072434550711523,0.5773502691896258,3.5879356904460655,1.0,True,,0.061863156186975875,0.09817211161343667,nan,2.002002002002002,False,0
483,1.9999999999999998,3.1622776601683795,0.5773502691896258,3.651483716701108,1.0,True,,0.06296028810909432,0.09991665363697969,nan,2.002002002002002,False,0
484,1.9999999999999998,3.1790872343791556,0.5773502691896258,3.6708937410922173,1.0,True,,0.06329540968857013,0.1004495648117641,nan,2.002002002002002,False,0
485,1.9999999999999998,3.2150091240331573,0.5773502691896258,3.7123727664152932,1.0,True,,0.0640115850134689,0.10158848673407897,nan,2.002002002002002,False,0
487,1.9999999999999998,3.286852903341161,0.5773502691896258,3.795330817061445,1.0,True,,0.06544403467051509,0.10386672883945286,nan,2.002002002002002,False,0
488,1.9999999999999998,3.3227747929951628,0.5773502691896258,3.836809842384521,1.0,True,,0.06616030974674014,0.10500605207301256,nan,2.002002002002002,False,0
486,1.9999999999999998,3.2509310136871594,0.5773502691896258,3.7538517917383696,1.0,True,,0.06472779321679671,0.10272754090182346,nan,2.002002002002002,False,0
489,1.9999999999999998,3.3586966826491644,0.5773502691896258,3.878288867707597,1.0,True,,0.06687661881774438,0.10614551213015683,nan,2.002002002002002,False,0
490,1.9999999999999998,3.394618572303166,0.5773502691896258,3.9197678930306727,1.0,True,,0.06759296225595837,0.10728511054016818,nan,2.002002002002002,False,0
491,1.9999999999999998,3.430540461957168,0.5773502691896258,3.961246918353749,1.0,True,,0.0683093404339726,0.10842484883397671,nan,2.002002002002002,False,0
492,1.9999999999999998,3.46646235161117,0.5773502691896258,4.0027259436768245,1.0,True,,0.06902575372453928,0.10956472854417917,nan,2.002002002002002,False,0
493,1.9999999999999998,3.5023842412651716,0.5773502691896258,4.0442049689999005,1.0,True,,0.069742202500574,0.11070475120505865,nan,2.002002002002002,False,0
494,1.9999999999999998,3.5383061309191732,0.5773502691896258,4.085683994322976,1.0,True,,0.07045868713515764,1.4589971670106443,nan,2.4925397418,True,2
495,1.9999999999999998,3.574228020573175,0.5773502691896258,4.127163019646052,1.0,True,,0.07117520800153802,1.4114528833352606,nan,2.4292616597,True,2
496,1.9999999999999998,3.6101499102271766,0.5773502691896258,4.168642044969128,1.0,True,,0.07189176547313186,1.4193930089704012,nan,2.3902700748,True,2
497,1.9999999999999998,3.6460717998811787,0.5773502691896258,4.210121070292204,1.0,True,,0.07260835992352635,1.4119908772970824,nan,2.3611134051,True,2
498,1.9999999999999998,3.6819936895351804,0.5773502691896258,4.25160009561528,1.0,True,,0.0733249917264811,1.5707900644790418,nan,2.3376215693,True,2
499,1.9999999999999998,3.717915579189182,0.5773502691896258,4.293079120938356,1.0,True,,0.07404166125592991,1.5707925122119095,nan,2.3179000494,True,2
500,1.9999999999999998,3.7538374688431837,0.5773502691896258,4.334558146261432,1.0,True,,0.07475836888598246,1.450797075785568,nan,2.3009012689,True,2
501,1.9999999999999998,3.7897593584971854,0.5773502691896258,4.376037171584508,1.0,True,,0.07547511499092623,1.4094336723143845,nan,2.2859755948,True,2
502,1.9999999999999998,3.8256812481511875,0.5773502691896258,4.417516196907584,1.0,True,,0.07619189994522824,1.5707887159422327,nan,2.2726883303,True,2
503,1.9999999999999998,3.831186849557287,0.5773502691896258,4.423873517815308,1.0,True,,0.07630176210669558,1.570792176756445,nan,2.2707759077,True,2
504,1.9999999999999998,3.861603137805189,0.5773502691896258,4.4589952222306595,1.0,True,,0.07690872412353682,1.443487577876519,nan,2.2607323308,True,2
505,1.9999999999999998,3.897525027459191,0.5773502691896258,4.500474247553735,1.0,True,,0.07762558790068345,1.3937207139825998,nan,2.249881499,True,2
506,1.9999999999999998,3.9334469171131925,0.5773502691896258,4.541953272876811,1.0,True,,0.07834249165168462,1.5707951240622895,nan,2.2399639863,True,2
