p_c_cgs,rho0_gcm3,r_c_km,n,M_Msun,R_km,M_over_R,success,fail_reason,at_boundary
3.288131309842434e+35,0.0,20.0,2,2.13592642691968,13.111434026595687,0.2405578070645699,True,,False
2.758531617629187e+35,0.0,20.0,2,2.0841498940301104,13.309498340761913,0.2312334320414843,True,,False
2.018760254679043e+33,100000000000.0,2.0,2,0.2684936254215481,14.157521033986036,0.028004648408709296,True,,False
2.4063341373555167e+33,100000000000.0,2.0,2,0.2772081026944622,14.01341830335015,0.029210917314866462,True,,False
1.6936105849167396e+33,100000000000.0,2.0,2,0.2588856065011345,14.277988773000194,0.026774676366740528,True,,False
1.1919860873910918e+33,100000000000.0,2.0,2,0.23689617151748574,14.435495548338206,0.02423314081808579,True,,False
2.868316813342021e+33,100000000000.0,2.0,2,0.2859349600387844,13.843194364221892,0.03050101573285709,True,,False
1.4208308325339238e+33,100000000000.0,2.0,2,0.24836195784833776,14.371981552230125,0.025518302693858942,True,,False
1e+33,100000000000.0,2.0,2,0.22446909640174345,14.464045384243734,0.02291659784137554,True,,False
3.41899373573364e+33,100000000000.0,2.0,2,0.29865397861542986,13.654739736488954,0.03229745032411375,True,,False
4.075392965871795e+33,100000000000.0,2.0,2,0.31603235439418625,13.475858164792186,0.03463047721436375,True,,False
6.902128664695696e+33,100000000000.0,2.0,2,0.4008784250593562,13.097098068790892,0.04519818183884308,True,,False
5.790443980602518e+33,100000000000.0,2.0,2,0.3668387355576499,13.192585130641751,0.041060916941656415,True,,False
1.1689518164985872e+34,100000000000.0,2.0,2,0.540789837210434,12.995994077135395,0.06144723959458572,True,,False
8.227241341700525e+33,100000000000.0,2.0,2,0.44113568490995697,13.034891553262637,0.04997446222533108,True,,False
9.806757216915845e+33,100000000000.0,2.0,2,0.48774120352467815,13.002423938622366,0.05539218346616796,True,,False
4.857811715970698e+33,100000000000.0,2.0,2,0.3385467054844924,13.318215788326675,0.037536684112473385,True,,False
1.979749169679625e+34,100000000000.0,2.0,2,0.7386055152413962,13.076855703325586,0.08340509391028425,True,,False
3.3529241492495396e+34,100000000000.0,2.0,2,0.9924256018871245,13.226328726872701,0.11080057339984484,True,,False
1.3933743020968605e+34,100000000000.0,2.0,2,0.6002361382077888,13.00801681557789,0.06813878897303866,True,,False
1.660882782627703e+34,100000000000.0,2.0,2,0.6662003950976595,13.036947971722544,0.07545922049616297,True,,False
2.812888660964246e+34,100000000000.0,2.0,2,0.9021386033098329,13.176749504561181,0.10109934412563104,True,,False
3.996638937983064e+34,100000000000.0,2.0,2,1.087608680119584,13.271946615400072,0.12101003870629719,True,,False
4.763938010401321e+34,100000000000.0,2.0,2,1.185348075599127,13.305437305808175,0.13155280328877,True,,False
5.678547829591974e+34,100000000000.0,2.0,2,1.284596803738827,13.331012076405573,0.1422941599938167,True,,False
2.359833466782179e+34,100000000000.0,2.0,2,0.8173840558604286,13.124677077173223,0.0919646444728408,True,,False
6.7687500094585135e+34,100000000000.0,2.0,2,1.384603419488333,13.336013986104906,0.15331431909039664,True,,False
9.617248711152945e+34,100000000000.0,2.0,2,1.5831724512008514,13.299961919396573,0.17577665173296092,True,,False
8.06825584030287e+34,100000000000.0,2.0,2,1.484487429783922,13.32660099796711,0.16449037489877869,True,,False
1.3664483492953243e+35,100000000000.0,2.0,2,1.7715100715123442,13.189526220529908,0.19833428329601213,True,,False
1.146362666267422e+35,100000000000.0,2.0,2,1.6791733455473965,13.255664739888015,0.18705847153026356,True,,False
1.9414919457438817e+35,100000000000.0,2.0,2,1.9406900994304388,13.006473646554186,0.22033322231632155,True,,False
1.6287874214985499e+35,100000000000.0,2.0,2,1.8590641456551884,13.106766959702014,0.20945086503913893,True,,False
2.3142313881085676e+35,100000000000.0,2.0,2,2.0154434310052025,12.890387966887708,0.23088088862824163,True,,False
2.758531617629187e+35,100000000000.0,2.0,2,2.082602189012407,12.758618585181456,0.24103828407930875,True,,False
1.4208308325339238e+33,100000000000.0,5.0,2,0.24796179267791446,14.351887670359826,0.025512857415822675,True,,False
1e+33,100000000000.0,5.0,2,0.224083956779649,14.444908923194337,0.022907585570998555,True,,False
1.6936105849167396e+33,100000000000.0,5.0,2,0.2584804151980941,14.257375514138424,0.02677142048129819,True,,False
1.1919860873910918e+33,100000000000.0,5.0,2,0.23649870564029996,14.415631928012834,0.02422581766318799,True,,False
2.018760254679043e+33,100000000000.0,5.0,2,0.26808058889089664,14.136034439608766,0.02800406875498097,True,,False
2.868316813342021e+33,100000000000.0,5.0,2,0.2855148460366488,13.820349199789835,0.03050654606388741,True,,False
2.4063341373555167e+33,100000000000.0,5.0,2,0.2767971496463638,13.991685130885035,0.029212918788816274,True,,False
4.857811715970698e+33,100000000000.0,5.0,2,0.33824340081241133,13.297201214190764,0.037562323839901365,True,,False
4.075392965871795e+33,100000000000.0,5.0,2,0.31559069304734527,13.452635951992857,0.03464177673864847,True,,False
5.790443980602518e+33,100000000000.0,5.0,2,0.3664149468913019,13.1701692935116,0.04108328711329304,True,,False
6.902128664695696e+33,100000000000.0,5.0,2,0.40064916468796735,13.07794130637448,0.04523850232790189,True,,False
8.227241341700525e+33,100000000000.0,5.0,2,0.4408934671444077,13.016036959925604,0.05001937393934041,True,,False
9.806757216915845e+33,100000000000.0,5.0,2,0.48748019012471644,12.984077993306341,0.055440765382608524,True,,False
3.41899373573364e+33,100000000000.0,5.0,2,0.2982181838756364,13.63139446678525,0.03230555424958249,True,,False
1.3933743020968605e+34,100000000000.0,5.0,2,0.5999446750149687,12.99044454558776,0.06819782916454666,True,,False
1.660882782627703e+34,100000000000.0,5.0,2,0.6658911276785289,13.018820164006792,0.0755292133529504,True,,False
1.1689518164985872e+34,100000000000.0,5.0,2,0.5405069533200113,12.977575135822129,0.06150226274223947,True,,False
1.979749169679625e+34,100000000000.0,5.0,2,0.7384635618538972,13.061658279323558,0.0834860885503675,True,,False
2.359833466782179e+34,100000000000.0,5.0,2,0.8170536389371547,13.107359967514135,0.09204892118301201,True,,False
3.3529241492495396e+34,100000000000.0,5.0,2,0.992097248741804,13.209382282108148,0.11090601411081873,True,,False
4.763938010401321e+34,100000000000.0,5.0,2,1.1851375459921316,13.292982713703411,0.1316526720574336,True,,False
6.7687500094585135e+34,100000000000.0,5.0,2,1.384429007619511,13.321521477549746,0.1534617767485861,True,,False
9.617248711152945e+34,100000000000.0,5.0,2,1.5829240566305665,13.286912619236649,0.17592167907011844,True,,False
