idx,r_c,n,rho_0,success,error,r_match,M_match,p_central,rho_central,n_interior_points,overlap_integral,fractional_shift
250,0.8799225435691075,8,0.0007196856730011522,False,integration_crashed,,,,,,,
254,0.8799225435691075,8,0.03727593720314938,False,integration_crashed,,,,,,,
253,0.8799225435691075,8,0.013894954943731374,False,integration_crashed,,,,,,,
255,0.8799225435691075,8,0.1,False,integration_crashed,,,,,,,
252,0.8799225435691075,8,0.005179474679231213,False,integration_crashed,,,,,,,
264,1.6681005372000592,3,0.0001,False,r_max,,,,,,,
265,1.6681005372000592,3,0.00026826957952797245,False,r_max,,,,,,,
259,1.6681005372000592,1,0.0019306977288832496,False,integration_crashed,,,,,,,
258,1.6681005372000592,1,0.0007196856730011522,False,integration_crashed,,,,,,,
262,1.6681005372000592,1,0.03727593720314938,False,integration_crashed,,,,,,,
260,1.6681005372000592,1,0.005179474679231213,False,integration_crashed,,,,,,,
263,1.6681005372000592,1,0.1,False,integration_crashed,,,,,,,
261,1.6681005372000592,1,0.013894954943731374,False,integration_crashed,,,,,,,
272,1.6681005372000592,5,0.0001,False,r_max,,,,,,,
273,1.6681005372000592,5,0.00026826957952797245,False,r_max,,,,,,,
267,1.6681005372000592,3,0.0019306977288832496,False,integration_crashed,,,,,,,
266,1.6681005372000592,3,0.0007196856730011522,False,integration_crashed,,,,,,,
268,1.6681005372000592,3,0.005179474679231213,False,integration_crashed,,,,,,,
270,1.6681005372000592,3,0.03727593720314938,False,integration_crashed,,,,,,,
271,1.6681005372000592,3,0.1,False,integration_crashed,,,,,,,
269,1.6681005372000592,3,0.013894954943731374,False,integration_crashed,,,,,,,
281,1.6681005372000592,8,0.00026826957952797245,False,r_max,,,,,,,
280,1.6681005372000592,8,0.0001,False,r_max,,,,,,,
274,1.6681005372000592,5,0.0007196856730011522,False,integration_crashed,,,,,,,
275,1.6681005372000592,5,0.0019306977288832496,False,integration_crashed,,,,,,,
276,1.6681005372000592,5,0.005179474679231213,False,integration_crashed,,,,,,,
277,1.6681005372000592,5,0.013894954943731374,False,integration_crashed,,,,,,,
279,1.6681005372000592,5,0.1,False,integration_crashed,,,,,,,
278,1.6681005372000592,5,0.03727593720314938,False,integration_crashed,,,,,,,
288,3.1622776601683795,1,0.0001,False,r_max,,,,,,,
289,3.1622776601683795,1,0.00026826957952797245,False,r_max,,,,,,,
283,1.6681005372000592,8,0.0019306977288832496,False,integration_crashed,,,,,,,
282,1.6681005372000592,8,0.0007196856730011522,False,integration_crashed,,,,,,,
284,1.6681005372000592,8,0.005179474679231213,False,integration_crashed,,,,,,,
286,1.6681005372000592,8,0.03727593720314938,False,integration_crashed,,,,,,,
285,1.6681005372000592,8,0.013894954943731374,False,integration_crashed,,,,,,,
287,1.6681005372000592,8,0.1,False,integration_crashed,,,,,,,
296,3.1622776601683795,3,0.0001,False,r_max,,,,,,,
297,3.1622776601683795,3,0.00026826957952797245,False,r_max,,,,,,,
291,3.1622776601683795,1,0.0019306977288832496,False,integration_crashed,,,,,,,
290,3.1622776601683795,1,0.0007196856730011522,False,integration_crashed,,,,,,,
292,3.1622776601683795,1,0.005179474679231213,False,integration_crashed,,,,,,,
293,3.1622776601683795,1,0.013894954943731374,False,integration_crashed,,,,,,,
294,3.1622776601683795,1,0.03727593720314938,False,integration_crashed,,,,,,,
295,3.1622776601683795,1,0.1,False,integration_crashed,,,,,,,
304,3.1622776601683795,5,0.0001,False,r_max,,,,,,,
305,3.1622776601683795,5,0.00026826957952797245,False,r_max,,,,,,,
299,3.1622776601683795,3,0.0019306977288832496,False,integration_crashed,,,,,,,
298,3.1622776601683795,3,0.0007196856730011522,False,integration_crashed,,,,,,,
300,3.1622776601683795,3,0.005179474679231213,False,integration_crashed,,,,,,,
303,3.1622776601683795,3,0.1,False,integration_crashed,,,,,,,
301,3.1622776601683795,3,0.013894954943731374,False,integration_crashed,,,,,,,
302,3.1622776601683795,3,0.03727593720314938,False,integration_crashed,,,,,,,
312,3.1622776601683795,8,0.0001,False,r_max,,,,,,,
